species,file,n,aba_obs,aba_z,aba_p,tail_obs,tail_z,tail_p,bound_rho,bound_z,bound_p,clade,learning_category
Eulemur_rubriventer,XC983967_-_Red-bellied_Lemur_-_Eulemur_rubriventer.wav,25,,0.458953256397573,0.3598200899550225,,-0.1237599368157385,0.5837081459270365,,2.112025726067932,0.0129935032483758,primate,usage_learner
Hapalemur_occidentalis,XC1081908_-_Northern_Bamboo_Lemur_-_Hapalemur_occidentalis.wav,18,,0.3034578106128866,0.456271864067966,,0.6081012776972821,0.3448275862068966,,-1.5940870481217548,0.952023988005997,primate,usage_learner
Amazona_auropalliata,RW_AH1FEB07AW7  ,19,,4.507324836793051,0.0004997501249375,,11.107117477569274,0.0004997501249375,,,0.175912043978011,bird,production_learner
Amazona_auropalliata,FW_AH1FEB07AW18,18,,-0.2842367977782679,0.7146426786606697,,-0.6445974503135309,1.0,,,0.7971014492753623,bird,production_learner
Amazona_auropalliata,RW_AH1FEB07AW8B,16,,-0.916714595413399,1.0,,-0.2208854377821489,1.0,,,,bird,production_learner
Amazona_auropalliata,RW_AH1FEB07AW9,15,,4.496785210692411,0.0004997501249375,,6.606700032997036,0.000999500249875,,,0.1234382808595702,bird,production_learner
Amazona_auropalliata,RW_AH1FEB07AW12,15,,5.690178495469708,0.0004997501249375,,5.555886369053235,0.0059970014992503,,,0.0004997501249375,bird,production_learner
Amazona_auropalliata,RC_AH17JAN08PW1,15,,1.7174311811972536,0.096951524237881,,1.1158176137514608,0.2663668165917041,,,0.4892553723138431,bird,production_learner
Troglodytes_aedon,bl.or.al.3,15,,-1.7467352341129418,1.0,,1.0264129152130574,0.2308845577211394,,,0.7596201899050474,bird,usage_learner
Troglodytes_aedon,bk.or.al.4,18,,-0.4557123456390434,0.8125937031484258,,0.4397763303743189,0.4087956021989005,,-1.208285489423481,0.88055972013993,bird,usage_learner
Troglodytes_aedon,ub.B2.F.1,20,,-2.020381462626536,1.0,,5.998137834721929,0.0004997501249375,,,0.0004997501249375,bird,usage_learner
Troglodytes_aedon,18B.F.6,21,,-0.0759587206194557,0.6081959020489756,,2.2514601885838657,0.0369815092453773,,-1.2028417739841375,0.8780609695152424,bird,usage_learner
Troglodytes_aedon,ub.B2.F.4,22,,-1.6809274149847837,0.9860069965017492,,5.195669217928787,0.000999500249875,,,0.0004997501249375,bird,usage_learner
Troglodytes_aedon,1B.M.3,24,,-2.21806834004204,1.0,,6.249958927939317,0.0004997501249375,,,0.0004997501249375,bird,usage_learner
Troglodytes_aedon,ub.10-2nd.M.7,25,,2.613206018324504,0.0184907546226886,,3.1481593681711604,0.009495252373813,,-0.4806921512430515,0.6756621689155422,bird,usage_learner
